CATEGORY	GROSS WEIGHT	DIA CT	BARCODE	MRP
DIAMOND BRACLET	3.57	0.08	CD07121	45900
DIAMOND BRACLET	3.24	0.14	CD07123	49200
DIAMOND BRACLET	3.7	0.09	CD07133	48300
DIAMOND BRACLET	3.52	0.06	CD07137	43100
DIAMOND BRACLET	3.54	0.08	CD07141	45600
DIAMOND BRACLET	3.3	0.09	CD07155	44400
DIAMOND BANGLE	4.89	0.1	CD07164	61200
DIAMOND BANGLE	4.7	0.15	CD07168	64800
DIAMOND BANGLE	5.19	0.07	CD07173	60800
DIAMOND BANGLE	5.84	0.09	CD07175	69500
DIAMOND BANGLE	4.74	0.1	CD07185	59700
DIAMOND BANGLE	4.94	0.12	CD07192	63900
DIAMOND BANGLE	5.42	0.18	CD07201	75200
DIAMOND BANGLE	4.82	0.17	CD07214	68200
DIAMOND BANGLE	4.99	0.09	CD07217	61100
DIAMOND BRACLET	2.81	0.17	CD07240	48300
DIAMOND CHAIN WITH PENDANT	3.87	0.02	CD07999	42100
DIAMOND CHAIN WITH PENDANT	3.86	0.04	CD08003	45100
DIAMOND CHAIN WITH PENDANT	3.56	0.07	CD08004	44700
DIAMOND CHAIN WITH PENDANT	3.63	0.04	CD08009	42800
DIAMOND CHAIN WITH PENDANT	3.72	0.05	CD08011	44300
DIAMOND CHAIN WITH PENDANT	3.68	0.03	CD08014	41800
DIAMOND CHAIN WITH PENDANT	2.63	0.03	CD09443	31400
DIAMOND CHAIN WITH PENDANT	2.58	0.04	CD09446	32400
DIAMOND CHAIN WITH PENDANT	2.43	0.03	CD09447	29400
DIAMOND CHAIN WITH PENDANT	2.67	0.03	CD09448	31800
DIAMOND CHAIN WITH PENDANT	2.42	0.03	CD09449	29300
DIAMOND CHAIN WITH PENDANT	2.56	0.03	CD09452	30700
DIAMOND CHAIN WITH PENDANT	3.13	0.03	CD09453	36300
DIAMOND CHAIN WITH PENDANT	2.53	0.03	CD09454	30400
DIAMOND CHAIN WITH PENDANT	2.71	0.03	CD09455	32200
DIAMOND CHAIN WITH PENDANT	2.58	0.03	CD09457	30900
DIAMOND CHAIN WITH PENDANT	2.46	0.02	CD09458	28100
DIAMOND CHAIN WITH PENDANT	2.64	0.03	CD09459	31500
DIAMOND CHAIN WITH PENDANT	2.74	0.03	CD09461	32500
DIAMOND CHAIN WITH PENDANT	2.49	0.02	CD09463	28400
DIAMOND CHAIN WITH PENDANT	2.52	0.03	CD09464	30300
DIAMOND CHAIN WITH PENDANT	2.82	0.03	CD09465	33300
DIAMOND CHAIN WITH PENDANT	2.81	0.02	CD09469	31600
DIAMOND CHAIN WITH PENDANT	2.47	0.02	CD09471	28200
DIAMOND STUD	1.67	0.02	CD11514	20300
DIAMOND STUD	1.08	0.02	CD11528	14400
DIAMOND STUD	1.46	0.01	CD11529	17400
DIAMOND STUD	1.46	0.02	CD11530	18200
DIAMOND STUD	1.38	0.02	CD11536	17400
DIAMOND STUD	1.2	0.02	CD11540	15600
DIAMOND STUD	1.6	0.02	CD11563	19600
DIAMOND STUD	1.31	0.02	CD11564	16700
DIAMOND STUD	1.41	0.01	CD11566	16900
DIAMOND STUD	1.14	0.02	CD11581	15000
DIAMOND STUD	1.51	0.02	CD11582	18700
DIAMOND STUD	1.1	0.01	CD11591	13800
DIAMOND STUD	1.22	0.02	CD11594	15800
DIAMOND STUD	1.21	0.02	CD11596	15700
DIAMOND CHAIN WITH PENDANT	3.57	0.04	CD08005	42200
DIAMOND CHAIN WITH PENDANT	3.68	0.03	CD08014	41800
DIAMOND CHAIN WITH PENDANT	2.47	0.03	CD09444	29800
DIAMOND CHAIN WITH PENDANT	2.42	0.03	CD09445	29300
DIAMOND CHAIN WITH PENDANT	2.73	0.05	CD09450	34500
DIAMOND CHAIN WITH PENDANT	2.53	0.03	CD09460	30400
DIAMOND CHAIN WITH PENDANT	2.84	0.03	CD09462	33500
DIAMOND CHAIN WITH PENDANT	2.78	0.02	CD09467	31300
DIAMOND CHAIN WITH PENDANT	2.85	0.02	CD09468	32000
DIAMOND CHAIN WITH PENDANT	2.55	0.02	CD09470	29000
DIAMOND STUD	1.67	0.02	CD11514	20300
DIAMOND STUD	1.65	0.02	CD11535	20100
DIAMOND PENDANT	0.65	0.03	CD17649	11800
DIAMOND PENDANT	0.66	0.03	CD17660	11900
DIAMOND PENDANT	0.65	0.04	CD17662	13300
DIA+A71:E97MOND RING	1.16	0.02	CD17676	15200
DIAMOND RING	0.92	0.03	CD17697	14500
DIAMOND RING	0.81	0.02	CD17732	11800
DIAMOND RING	0.99	0.02	CD17742	13600
DIAMOND RING	0.8	0.03	CD17757	13300
DIAMOND RING	0.81	0.02	CD17761	11800
DIAMOND RING	0.95	0.02	CD17791	13200
DIAMOND RING	0.93	0.02	CD17801	13000
DIAMOND RING	0.85	0.01	CD17803	11300
DIAMOND RING	1.14	0.01	CD17806	14200
DIAMOND RING	0.87	0.03	CD17812	14000
DIAMOND RING	1.08	0.03	CD17818	16000
DIAMOND RING	1.07	0.02	CD17833	14300
DIAMOND RING	0.78	0.02	CD17838	11500
DIAMOND RING	0.87	0.03	CD17839	14000
DIAMOND RING	1.24	0.02	CD17843	16000
DIAMOND RING	0.89	0.03	CD17847	14200
DIAMOND RING	0.94	0.03	CD17848	14700
DIAMOND RING	0.93	0.02	CD17850	13000
DIAMOND RING	1.01	0.02	CD17857	13700
DIAMOND RING	0.87	0.03	CD17860	14000
DIAMOND RING	0.98	0.01	CD17861	12600
DIAMOND RING	1.08	0.01	CD17862	13600
DIAMOND RING	0.89	0.01	CD17878	11700
DIAMOND RING	0.83	0.03	CD17892	13600
DIAMOND PENDANT	0.75	0.04	CD18208	14300
DIAMOND PENDANT	0.67	0.05	CD18209	14100
DIAMOND PENDANT	0.53	0.03	CD18214	10600
DIAMOND PENDANT	0.79	0.06	CD18215	16100
DIAMOND PENDANT	0.63	0.03	CD18216	11600
DIAMOND PENDANT	0.54	0.03	CD18218	10700
DIAMOND PENDANT	0.55	0.02	CD18219	9200
DIAMOND PENDANT	0.6	0.04	CD18320	12800
DIAMOND PENDANT	0.54	0.03	CD18337	10700
DIAMOND PENDANT	0.69	0.06	CD18346	15100
DIAMOND PENDANT	0.65	0.03	CD18348	11800
DIAMOND PENDANT	0.54	0.03	CD18352	10700
DIAMOND PENDANT	0.83	0.04	CD18356	15100
DIAMOND PENDANT	0.72	0.05	CD18362	14600
DIAMOND PENDANT	0.95	0.06	CD18369	17700
DIAMOND PENDANT	0.76	0.04	CD18371	14400
DIAMOND PENDANT	0.68	0.03	CD18377	12100
DIAMOND PENDANT	0.59	0.06	CD18380	14100
DIAMOND PENDANT	0.67	0.05	CD18394	14100
DIAMOND PENDANT	1.09	0.03	CD18396	16100
DIAMOND PENDANT	0.64	0.08	CD18400	16900
DIAMOND PENDANT	0.76	0.05	CD18401	15000
DIAMOND PENDANT	0.63	0.03	CD18403	11600
DIAMOND PENDANT	0.52	0.04	CD18413	12000
DIAMOND PENDANT	0.84	0.05	CD18416	15800
DIAMOND PENDANT	0.56	0.03	CD18418	10900
DIAMOND PENDANT	0.44	0.04	CD18420	11300
DIAMOND PENDANT	0.55	0.05	CD18426	12900
DIAMOND BRACLET	3.83	0.14	CD07235	55100
DIAMOND PENDANT	0.69	0.04	CD18408	13700
DIAMOND PENDANT	0.5	0.09	CD18414	16700
DIAMOND PENDANT	1.12	0.04	CD18425	18000
DIAMOND PENDANT	0.92	0.05	CD18331	16600
			latest data	
DIAMOND BANGLE	4.82	0.17	CD07214	74000
DIAMOND BANGLE	5.42	0.18	CD07201	81700
DIAMOND BANGLE	5.42	0.18	CD07201	81700
DIAMOND BANGLE	4.82	0.17	CD07214	74000
DIAMOND BANGLE	5.42	0.18	CD07201	81700
DIAMOND BANGLE	4.99	0.09	CD07217	67100
DIAMOND BANGLE	4.82	0.17	CD07214	74000
DIAMOND BRACLET	3.83	0.14	CD07235	59700
DIAMOND BRACLET	2.81	0.17	CD07240	51600
DIAMOND BRACLET	2.48	0.03	CD09205	32900
DIAMOND BRACLET	2.68	0.04	CD09204	36600
DIAMOND BRACLET	2.48	0.03	CD09206	32900
DIAMOND BRACLET	2.37	0.04	CD09209	33200
DIAMOND BRACLET	2.39	0.04	CD09205	33400
DIAMOND CHAIN WITH PENDANT	2.48	0.03	CD09462	32900
DIAMOND CHAIN WITH PENDANT	2.84	0.03	CD09444	36900
DIAMOND CHAIN WITH PENDANT	2.47	0.03	CD09445	32800
DIAMOND CHAIN WITH PENDANT	2.42	0.03	CD09460	32200
DIAMOND CHAIN WITH PENDANT	2.53	0.03	CD09450	33400
DIAMOND CHAIN WITH PENDANT	2.73	0.05	CD09470	37800
DIAMOND CHAIN WITH PENDANT	2.55	0.02	CD09468	32100
DIAMOND CHAIN WITH PENDANT	2.85	0.02	CD09467	35400
DIAMOND CHAIN WITH PENDANT	2.78	0.02	CD09454	34600
DIAMOND CHAIN WITH PENDANT	2.53	0.03	CD09453	33400
DIAMOND CHAIN WITH PENDANT	3.13	0.03	CD09471	40100
DIAMOND CHAIN WITH PENDANT	2.47	0.02	CD09464	31200
DIAMOND CHAIN WITH PENDANT	2.52	0.03	CD09465	33300
DIAMOND CHAIN WITH PENDANT	2.82	0.03	CD09463	36700
DIAMOND CHAIN WITH PENDANT	2.49	0.02	CD09446	31400
DIAMOND CHAIN WITH PENDANT	2.58	0.04	CD09449	35500
DIAMOND CHAIN WITH PENDANT	2.42	0.03	CD09455	32200
DIAMOND CHAIN WITH PENDANT	2.71	0.03	CD09461	35400
DIAMOND CHAIN WITH PENDANT	2.74	0.03	CD09459	35800
DIAMOND CHAIN WITH PENDANT	2.64	0.03	CD09452	34700
DIAMOND CHAIN WITH PENDANT	2.56	0.03	CD09458	33800
DIAMOND CHAIN WITH PENDANT	2.46	0.02	CD09457	31100
DIAMOND CHAIN WITH PENDANT	2.58	0.03	CD09448	34000
DIAMOND CHAIN WITH PENDANT	2.67	0.03	CD09447	35000
DIAMOND CHAIN WITH PENDANT	2.43	0.03	CD09443	32300
DIAMOND CHAIN WITH PENDANT	2.63	0.03	CD09200	34500
DIAMOND CHAIN WITH PENDANT	3.2	0.04	CD09202	42400
DIAMOND CHAIN WITH PENDANT	3.38	0.08	CD09201	48100
DIAMOND CHAIN WITH PENDANT	3.61	0.08	CD09203	50700
DIAMOND CHAIN WITH PENDANT	3.36	0.07	CD09207	46700
DIAMOND RING	3.33	0.08	CD09257	47600
DIAMOND RING	0.44	0.01	CD09285	7800
DIAMOND RING	0.48	0.01	CD09261	8200
DIAMOND RING	0.63	0.01	CD06612	9900
DIAMOND RING	0.51	0.01	CD09292	8600
DIAMOND RING	0.55	0.01	CD09223	9000
DIAMOND RING	0.4	0.01	CD08989	7300
DIAMOND RING	0.94	0.06	CD09283	18700
DIAMOND RING	0.46	0.01	CD09242	8000
DIAMOND RING	0.53	0.01	CD09227	8800
DIAMOND RING	0.56	0.01	CD09229	9100
DIAMOND RING	0.49	0.01	CD09240	8300
DIAMOND RING	0.52	0.01	CD09228	8700
DIAMOND RING	0.54	0.01	CD09285	8900
DIAMOND RING	0.48	0.01	CD09235	8200
DIAMOND RING	0.42	0.01	CD09217	7600
DIAMOND RING	0.5	0.01	CD09230	8500
DIAMOND RING	0.53	0.01	CD09248	8800
DIAMOND RING	0.45	0.01	CD09268	7900
DIAMOND RING	0.42	0.01	CD09246	7600
DIAMOND RING	0.58	0.01	CD09285	9300
DIAMOND RING	0.48	0.01	CD06628	8200
DIAMOND RING	1.08	0.01	CD06687	14900
DIAMOND RING	0.81	0.01	CD06612	11900
DIAMOND RING	0.51	0.01	CD09224	8600
DIAMOND RING	0.4	0.01	CD09239	7300
DIAMOND RING	0.49	0.01	CD08973	8300
DIAMOND RING	0.72	0.04	CD08995	14900
DIAMOND RING	0.57	0.03	CD08995	11700
DIAMOND RING	0.57	0.03	CD08973	11700
DIAMOND RING	0.72	0.04	CD05407	14900
DIAMOND RING	0.49	0.01	CD09232	8300
DIAMOND RING	0.62	0.01	CD05407	9800
DIAMOND RING	0.49	0.01	CD06806	8300
DIAMOND RING	0.57	0.01	CD09297	9200
DIAMOND RING	0.53	0.01	CD08986	8800
DIAMOND RING	0.85	0.04	CD09259	16300
DIAMOND RING	0.43	0.01	CD08986	7700
DIAMOND RING	0.85	0.04	CD08995	16300
DIAMOND RING	0.57	0.03	CD08969	11700
DIAMOND RING	0.7	0.06	CD08983	16000
DIAMOND RING	0.81	0.02	CD08979	12700
DIAMOND RING	0.62	0.02	CD08972	10600
DIAMOND RING	0.89	0.03	CD08992	15200
DIAMOND RING	0.77	0.02	CD08981	12300
DIAMOND RING	1.04	0.03	CD08977	16900
DIAMOND RING	0.76	0.03	CD08973	13800
DIAMOND RING	0.72	0.04	CD09000	14900
DIAMOND RING	0.88	0.02	CD08968	13500
DIAMOND RING	0.89	0.03	CD08985	15200
DIAMOND RING	0.92	0.07	CD08964	19700
DIAMOND RING	0.52	0.03	CD08993	11100
DIAMOND RING	0.86	0.03	CD08997	14900
DIAMOND RING	0.85	0.03	CD08994	14800
DIAMOND RING	0.77	0.03	CD09001	13900
DIAMOND RING	0.88	0.03	CD08965	15100
DIAMOND RING	0.92	0.03	CD08975	15600
DIAMOND RING	0.77	0.03	CD08971	13900
DIAMOND RING	1	0.03	CD08991	16500
DIAMOND RING	0.89	0.02	CD08988	13600
DIAMOND RING	0.99	0.03	CD08987	16300
DIAMOND RING	0.91	0.04	CD08978	17000
DIAMOND RING	0.94	0.02	CD09256	14200
DIAMOND RING	0.44	0.01	CD09213	7800
DIAMOND RING	0.41	0.01	CD09281	7500
DIAMOND RING	0.47	0.01	CD09214	8100
DIAMOND RING	0.44	0.01	CD09286	7800
DIAMOND RING	0.4	0.01	CD09288	7300
DIAMOND RING	0.42	0.01	CD09294	7600
DIAMOND RING	0.55	0.01	CD09231	9000
DIAMOND RING	0.6	0.01	CD09265	9600
DIAMOND RING	0.46	0.01	CD09241	8000
DIAMOND RING	0.54	0.01	CD09234	8900
DIAMOND RING	0.62	0.01	CD09295	9800
DIAMOND RING	0.51	0.01	CD09292	8600
DIAMOND RING	0.55	0.01	CD09223	9000
DIAMOND RING	0.4	0.01	CD09244	7300
DIAMOND RING	0.6	0.01	CD09298	9600
DIAMOND RING	0.54	0.01	CD09297	8900
DIAMOND RING	0.53	0.01	CD09225	8800
DIAMOND RING	0.4	0.01	CD09289	7300
DIAMOND RING	0.56	0.01	CD09236	9100
DIAMOND RING	0.44	0.01	CD09259	7800
DIAMOND RING	0.43	0.01	CD09211	7700
DIAMOND RING	0.47	0.01	CD09212	8100
DIAMOND RING	0.45	0.01	CD09353	7900
DIAMOND RING	0.53	0.01	CD09247	8800
DIAMOND RING	0.6	0.01	CD09245	9600
DIAMOND RING	0.58	0.01	CD09264	9300
DIAMOND RING	0.62	0.01	CD09270	9800
DIAMOND RING	0.46	0.01	CD09226	8000
DIAMOND RING	0.51	0.01	CD09233	8600
DIAMOND RING	0.62	0.01	CD09252	9800
DIAMOND RING	0.42	0.01	CD09253	7600
DIAMOND RING	0.43	0.01	CD09342	7700
DIAMOND RING	0.58	0.01	CD09237	9300
DIAMOND RING	0.44	0.01	CD09267	7800
DIAMOND RING	0.45	0.01	CD09287	7900
DIAMOND RING	0.42	0.01	CD09258	7600
DIAMOND RING	0.46	0.01	CD09210	8000
DIAMOND RING	0.54	0.03	CD09296	11300
DIAMOND RING	0.54	0.01	CD09216	8900
DIAMOND RING	0.49	0.01	CD09279	8300
DIAMOND RING	0.46	0.01	CD09278	8000
DIAMOND RING	0.44	0.01	CD09275	7800
DIAMOND RING	0.44	0.01	CD09232	7800
DIAMOND RING	0.62	0.01	CD09257	9800
DIAMOND RING	0.44	0.01	CD09282	7800
DIAMOND RING	0.49	0.01	CD09364	8300
DIAMOND RING	0.51	0.01	CD09280	8600
DIAMOND RING	0.47	0.01	CD09220	8100
DIAMOND RING	0.43	0.01	CD09269	7700
DIAMOND RING	0.44	0.01	CD09219	7800
DIAMOND RING	0.35	0.01	CD09284	6800
DIAMOND RING	0.48	0.01	CD09271	8200
DIAMOND RING	0.46	0.01	CD09301	8000
DIAMOND RING	0.51	0.01	CD09251	8600
DIAMOND RING	0.41	0.01	CD09250	7500
DIAMOND RING	0.42	0.01	CD09243	7600
DIAMOND RING	0.53	0.01	CD09215	8800
DIAMOND RING	0.49	0.01	CD09273	8300
DIAMOND RING	0.44	0.01	CD09254	7800
DIAMOND RING	0.43	0.01	CD09222	7700
DIAMOND RING	0.4	0.01	CD09260	7300
DIAMOND RING	0.61	0.01	CD09266	9700
DIAMOND RING	0.42	0.01	CD09293	7600
DIAMOND RING	0.54	0.01	CD09290	8900
DIAMOND RING	0.56	0.01	CD09221	9100
DIAMOND RING	0.37	0.01	CD09291	7000
DIAMOND RING	0.44	0.01	CD09299	7800
DIAMOND RING	0.51	0.01	CD09218	8600
DIAMOND RING	0.5	0.01	CD09262	8500
DIAMOND RING	0.63	0.01	CD09263	9900
